Time (min),Requests
642,3912
643,17083
644,16814
645,23563
646,194015
647,23989
648,26869
649,29027
650,11406
651,136155
652,19853
653,28274
654,205759
655,48645
656,14525
657,16899
658,104770
659,253052
660,14057
661,65814
662,40300
663,32977
664,140393
665,3884
666,91668
667,16142
668,61556
669,33860
670,196086
671,33357
672,402077
673,960673
674,4604
675,282773
676,32699
677,177821
678,349237
679,6530
680,204595
681,1665
682,240695
683,99756
684,184443
685,470745
686,591739
687,779564
688,449008
689,1135833
690,2909
691,665119
692,721727
693,374296
694,61745
695,8806
696,340826
697,1341
698,186010
699,345530
700,1937
701,372515
702,18643
703,237878
704,203053
705,8144
706,44032
707,292117
708,206622
709,21614
710,21458
711,207773
712,19025
713,3727
714,2279
715,1327
716,44066
717,9899
718,1271
719,129938
720,19910
721,77845
722,5279
723,43594
724,15298
725,27990
726,2746
727,5985
728,6430
729,4925
730,27340
731,97192
732,8854
733,876
734,42477
735,2353
736,9921
737,104910
738,9082
739,13657
740,126246
741,14919
742,5649
743,6392
744,1922
745,2200
746,42826
747,7432
748,1246
749,21812
750,17314
751,23008
752,13367
753,18243
754,1897
755,14785
756,45343
757,10056
758,27375
759,55470
760,2665
761,10397
762,2063
763,1218
764,7724
765,17273
766,14958
767,21923
768,8019
769,8850
770,7067
771,8552
772,4991
773,11666
774,12140
775,24075
776,13490
777,13329
778,10265
779,15830
780,11856
781,8774
782,331282
783,10588
784,14799
785,6266
786,19541
787,1877
788,4816
789,8220
790,5884
791,1497
792,2542
793,27520
794,4663
795,214156
796,6044
797,17801
798,14903
799,96606
800,4588
801,83928
802,5377
803,5626
804,11201
805,189885
806,18422
807,445070
808,705082
809,45808
810,20086
811,1431
812,3580
813,179341
814,12406
815,238032
816,3563
817,209944
818,153178
819,18984
820,134322
821,426739
822,339746
823,20025
824,295737
825,365286
826,511757
827,2175
828,1059911
829,911903
830,650505
831,762270
832,191151
833,268637
834,570712
835,913744
836,165281
837,52926
838,527464
839,181555
840,340441
841,322440
842,430203
843,936913
844,228996
845,78280
846,33551
847,335909
848,77615
849,263501
850,295318
851,218466
852,159829
853,31066
854,290906
855,165393
856,31859
857,124269
858,47667
859,11246
860,20444
861,13806
862,204555
863,27750
864,21155
865,63989
866,152419
867,10193
868,15436
869,20423
870,11946
871,87557
872,20745
873,16080
874,263227
875,40787
876,25896
877,34273
878,19624
879,141533
880,2677
881,1202145
882,3038
883,1310852
884,24180
885,1463346
886,159829
887,491816
888,703389
889,90357
890,103366
891,99670
892,252281
893,134163
894,87631
895,26497
896,1361624
897,495794
898,24936
899,219905
900,500735
901,159636
902,152064
903,337296
904,201555
905,5558
906,4995
907,224660
908,232254
909,788838
910,731839
911,17974
912,51034
913,330470
914,311455
915,5004
916,319827
917,8168
918,21870
919,171261
920,211749
921,190041
922,618269
923,1017531
924,48552
925,44480
926,30118
927,405145
928,170334
929,665323
930,853223
931,4340
932,207291
933,6597
934,385164
935,351425
936,439127
937,771369
938,10916
939,395192
940,10768
941,176354
942,395504
943,221351
944,8941
945,51210
946,154769
947,8990
948,12423
949,346525
950,796
951,260398
952,6238
953,2359
954,13619
955,21573
956,201614
957,2720
958,4374
959,3625
960,8266
961,4465
962,1430
963,10321
964,1599
965,66480
966,78857
967,17919
968,21294
969,19001
970,11925
971,16012
972,101746
973,57725
974,216517
975,112865
976,190792
977,13070
978,254058
979,156284
980,4926
981,92040
982,351140
983,582575
984,9429
985,55557
986,270844
987,802832
988,6897
989,71009
990,195074
991,84336
992,102394
993,11264
994,25885
995,173619
996,288301
997,201342
998,359584
999,262106
1000,1293791
1001,44833
1002,274219
1003,439684
1004,123249
1005,1850423
1006,63818
1007,42697
1008,115710
1009,114913
1010,83908
1011,111612
1012,266656
1013,5325
1014,6535
1015,135616
1016,25568
1017,105458
1018,11169
1019,89412
1020,487594
1021,309080
1022,4074
1023,6749
1024,6607
1025,41886
1026,11315
1027,8123
1028,82629
1029,43639
1030,13433
1031,18912
1032,56515
1033,154596
1034,241773
1035,5962
1036,6596
1037,21458
1038,15833
1039,1442346
1040,59889
1041,144936
1042,172226
1043,154570
1044,14763
1045,121594
1046,169613
1047,37318
1048,17734
1049,16361
1050,18072
1051,42008
1052,52236
1053,39482
1054,635690
1055,70764
1056,88397
1057,6685
1058,1708856
1059,383777
1060,18469
1061,88360
1062,113046
1063,74378
1064,144753
1065,97654
1066,95062
1067,61358
1068,40090
1069,36347
1070,12395
1071,39611
1072,2138
1073,1568950
1074,1300809
1075,332971
1076,198545
1077,301639
1078,27606
1079,114399
1080,545142
1081,1420830
1082,31805
1083,98715
1084,58142
1085,155972
1086,283989
1087,231718
1088,282394
1089,274379
1090,351347
1091,75156
1092,331429
1093,386015
1094,196521
1095,406696
1096,282080
1097,13281
1098,13792
1099,269743
1100,26564
1101,60741
1102,54954
1103,27248
1104,85668
1105,329204
1106,260788
1107,112259
1108,1258
1109,85245
1110,68222
1111,36984
1112,38035
1113,11595
1114,275416
1115,286552
1116,25207
1117,28278
1118,94345
1119,14676
1120,70349
1121,216793
1122,1518082
1123,323396
1124,428330
1125,120344
1126,86779
1127,13965
1128,352502
1129,74662
1130,20204
1131,277676
1132,66941
1133,108049
1134,165718
1135,13801
1136,135541
1137,131179
1138,66632
1139,40181
1140,180527
1141,21734
1142,84532
1143,119208
1144,78984
1145,33140
1146,79980
1147,19999
1148,2754
1149,16073
1150,51837
1151,1168000
1152,133131
1153,1397179
1154,201616
1155,98485
1156,21114
1157,86615
1158,12186
1159,1201915
1160,11945
1161,14763
1162,192592
1163,162578
1164,1207074
1165,106534
1166,1417306
1167,139091
1168,259616
1169,1435778
1170,451263
1171,284753
1172,217585
1173,407949
1174,176646
1175,216530
1176,600048
1177,102783
1178,11903
1179,202411
1180,206921
1181,924280
1182,119296
1183,180093
1184,1535594
1185,267155
1186,48945
1187,23471
1188,30809
1189,10129
1190,217282
1191,3426
1192,1529683
1193,38364
1194,9837
1195,86974
1196,783928
1197,42581
1198,44341
1199,298624
1200,65295
1201,1493
1202,2989
1203,1764
1204,278714
1205,2544519
1206,81351
1207,27020
1208,3781
1209,1135
1210,17310
1211,22198
1212,43750
1213,1933
1214,18117
1215,135544
1216,4446
1217,24579
1218,49273
1219,18089
1220,4095
1221,7919
1222,158177
1223,9985
1224,87514
1225,50202
1226,60977
1227,3854
1228,62616
1229,6085
1230,6958
1231,2141
1232,12135
1233,87337
1234,358510
1235,13466
1236,155544
1237,151250
1238,8318
1239,12482
1240,2187
1241,7787
1242,863
1243,505584
1244,4954
1245,2700
1246,331375
1247,1201
1248,8300
1249,6545
1250,352550
1251,2088
1252,3029
1253,1768
1254,20608
1255,9046
1256,1371
1257,370074
1258,1807
1259,8112
1260,79948
1261,6581
1262,105044
1263,57131
1264,61824
1265,32880
1266,204157
1267,1081
1268,6705
1269,17872
1270,105029
1271,577086
1272,111456
1273,58129
1274,61746
1275,491343
1276,56691
1277,62723
1278,20709
1279,155703
1280,82405
1281,2234
1282,3395
1283,12008
1284,131897
1285,2001
1286,1514
1287,16826
1288,321930
1289,981
1290,9447
1291,4006
1292,195
1293,4767
1294,32152
1295,31232
1296,791
1297,1687
1298,30928
1299,31106
1300,2619
1301,25915
1302,288797
1303,18970
1304,13011
1305,106027
1306,6300
1307,2891
1308,1850
1309,10233
1310,299794
1311,3474
1312,2587
1313,12060
1314,153349
1315,917
1316,2768
1317,26911
1318,1586
1319,1986
1320,1856
1321,1740
1322,9760
1323,1849
1324,9831
1325,12166
1326,1244
1327,10544
1328,3163
1329,3693
1330,147062
1331,523050
1332,3237
1333,1503
1334,14103
1335,2959
1336,341882
1337,318168
1338,9639
1339,30671
1340,181258
1341,8693
1342,9218
1343,41885
1344,216802
1345,5626
1346,32437
1347,85359
1348,2346
1349,4408
1350,12552
1351,27665
1352,7872
1353,361280
1354,4982
1355,3550
1356,14502
1357,6341
1358,2363
1359,17361
1360,17638
1361,2840
1362,2828
1363,675
1364,357836
1365,1389
1366,1026
1367,90421
1368,1543
1369,189428
1370,8715
1371,2901
1372,28284
1373,3690
1374,2075
1375,4166
1376,6927
1377,27786
1378,4119
1379,4313
1380,87765
1381,14634
1382,18711
1383,2275
1384,16299
1385,19016
1386,5422
1387,1522
1388,17206
1389,15941
1390,2215
1391,2465
1392,1259983
1393,2505
1394,2444
1395,2932
1396,8107
1397,8235
1398,6411
1399,3957
1400,4036
1401,1137
1402,9013
1403,6678
1404,185062
1405,6470
1406,46939
1407,9882
1408,1930
1409,48794
1410,26040
1411,205020
1412,4868
1413,88037
1414,5384
1415,12985
1416,1307694
1417,1817
1418,1394743
1419,31349
1420,13940
1421,24293
1422,127337
1423,20232
1424,15753
1425,21978
1426,6101
1427,7603
1428,188050
1429,22295
1430,8266
1431,13353
1432,306148
1433,309581
1434,24978
1435,19114
1436,43940
1437,4443
1438,6826
1439,4716
1440,91710
1441,7866
1442,186277
1443,8828
1444,6087
1445,25545
1446,7260
1447,2906
1448,125802
1449,125692
1450,4247
1451,22381
1452,22264
1453,33964
1454,1892
1455,1017
1456,2983
1457,1168
1458,3933
1459,40958
1460,7689
1461,3911
1462,2882
1463,4312
